Skill Name,Salary Premium,Skill Frequency,Averege job postings duration (days),Difficulty to fill in the market,Difficulty,GROWTH PROJECTION 
Contingency Management,44294.306751,0.00%,30.822292,5.42%,Medium difficulty to fill,0.00%
Financial Accounting Standards Board,31168.043334,0.00%,30.488502,3.77%,Medium difficulty to fill,2.53%
Graylog,64170.523512,0.00%,26.83612,6.76%,High difficulty to fill,25.00%
Boat Building,0,0.00%,32.418953,0.00%,Low difficulty to fill,-2.38%
Philosophy Of Business,14880.085265,0.00%,31.454737,1.86%,Low difficulty to fill,6.06%
Data Monetization,80217.961276,0.00%,27.832041,8.79%,High difficulty to fill,9.09%
Large-Scale Atomic/Molecular Massively Parallel Simulator (LAMMPS),40011.34222,0.00%,33.789474,5.40%,Medium difficulty to fill,-20.00%
Code Snippets,41317.488351,0.00%,25.365155,4.10%,Medium difficulty to fill,0.00%
MARI,360.725677,0.00%,32.714286,0.05%,Low difficulty to fill,-7.14%
JBoss Operations Networks,0,0.00%,33.933333,0.00%,Low difficulty to fill,-100.00%
Flowmaster,21132.78014,0.00%,28.743215,2.40%,Low difficulty to fill,6.82%
Computerized Laboratory Equipment,4274.829316,0.00%,30.51358,0.52%,Low difficulty to fill,-2.08%
Genetic Disorders,36502.696616,0.00%,31.168224,4.52%,Medium difficulty to fill,3.95%
H.323 Protocol,32395.32616,0.00%,27.041298,3.44%,Medium difficulty to fill,-3.33%
Coupling Facility,60834.262872,0.00%,25.309091,6.02%,High difficulty to fill,-16.67%
TIA/EIA-568,0,0.00%,30.183246,0.00%,Low difficulty to fill,-10.00%
Amazon AppStream,45992.188815,0.00%,26.95082,4.87%,Medium difficulty to fill,-100.00%
Chromatography Software,14322.102687,0.00%,29.043379,1.64%,Low difficulty to fill,11.54%
Computer Aided Diagnosis,18522.192511,0.00%,29.093168,2.13%,Low difficulty to fill,0.00%
Emotional Dysregulation,285.686408,0.00%,30.441718,0.03%,Low difficulty to fill,-3.85%
Collision Detection,70142.104539,0.00%,27.516949,7.59%,High difficulty to fill,12.50%
Radiation Survey Meters,19516.321919,0.00%,29.9625,2.32%,Low difficulty to fill,2.44%
Computational Mathematics,40362.895015,0.00%,28.688679,4.57%,Medium difficulty to fill,-11.36%
Fracture Mechanics,56059.834384,0.00%,27.083554,5.97%,High difficulty to fill,4.48%
CheckPoint PPC (Software),35535.465291,0.00%,26.793872,3.74%,Medium difficulty to fill,-9.52%
Tax Statistics,45759.091926,0.00%,30.941176,5.62%,High difficulty to fill,-11.63%
Predictive Dialer,0,0.00%,30.99604,0.00%,Low difficulty to fill,-6.67%
Genetic Epidemiology,49480.07742,0.00%,31.342593,6.16%,High difficulty to fill,13.64%
MobX,69032.120416,0.00%,25.149639,6.78%,High difficulty to fill,-17.31%
Permaculture,0,0.00%,32.611607,0.00%,Low difficulty to fill,-24.32%
Pulp Capping,138167.574104,0.00%,30.830189,16.90%,High difficulty to fill,0.00%
Soft Tissue Mobilization,8358.092073,0.00%,29.715385,0.98%,Low difficulty to fill,-20.46%
Territory Volume,17922.308403,0.00%,26.809291,1.89%,Low difficulty to fill,5.00%
Social Sustainability,32454.754853,0.00%,29.096774,3.73%,Medium difficulty to fill,12.50%
Distributed Resource Scheduler,49167.542516,0.00%,27.858566,5.39%,Medium difficulty to fill,24.00%
ArchiCAD,11155.814035,0.00%,32.800955,1.46%,Low difficulty to fill,-11.63%
Stamping Press,0,0.00%,30.718121,0.00%,Low difficulty to fill,-15.00%
Code Editor,50926.843779,0.00%,28.594512,5.75%,High difficulty to fill,-8.70%
Image Research,2954.077198,0.00%,30.864078,0.36%,Low difficulty to fill,8.33%
Bar Code Medication Administration,40549.731195,0.00%,29.287554,4.70%,Medium difficulty to fill,10.26%
Sysinternals,64822.927443,0.00%,27.837838,7.11%,High difficulty to fill,-18.75%
Bloom's Taxonomy,9689.830912,0.00%,30.934426,1.19%,Low difficulty to fill,-13.92%
GoToWebinar,16149.693501,0.00%,30.350539,1.94%,Low difficulty to fill,-100.00%
System Scaffold,0,0.00%,35.542857,0.00%,Low difficulty to fill,0.00%
Raising Capital,76509.636233,0.00%,31.344288,9.53%,High difficulty to fill,0.00%
HP DDMI,58819.446963,0.00%,28.205128,6.54%,High difficulty to fill,-25.00%
Service-Oriented Modeling,60906.704539,0.00%,28.208861,6.77%,High difficulty to fill,-14.29%
Xylene,0,0.00%,29.598553,0.00%,Low difficulty to fill,0.00%
Constrained Optimization,74969.037872,0.00%,34.0625,10.20%,High difficulty to fill,12.50%
Plumbing Renovations,0,0.00%,32.636364,0.00%,Low difficulty to fill,14.29%
Evolutionary Algorithm,79341.260094,0.00%,29.16129,9.14%,High difficulty to fill,-22.22%
Dampening,43.037872,0.00%,21,0.00%,Low difficulty to fill,0.00%
Continued Process Verification,55635.391531,0.00%,30.584296,6.75%,High difficulty to fill,9.38%
Pulmonary Pleura,46238.537872,0.00%,29.079179,5.31%,Medium difficulty to fill,1.32%
Public-Private Partnerships,56909.125784,0.00%,31.098039,7.03%,High difficulty to fill,-10.53%
Deep Packet Inspection,83225.906516,0.00%,26.602564,8.69%,High difficulty to fill,6.25%
Oil Terminal,0,0.00%,28.397059,0.00%,Low difficulty to fill,-50.00%
Scrapy (Web Crawler),63588.060599,0.00%,28.780488,7.23%,High difficulty to fill,-33.33%
Random Effects Models,45223.95568,0.00%,30.609756,5.49%,Medium difficulty to fill,-14.29%
SAS Statistical Analysis,42525.880451,0.00%,28.309002,4.75%,Medium difficulty to fill,0.00%
Shift Register,0,0.00%,32.410072,0.00%,Low difficulty to fill,-21.43%
Human Rights Policies,7654.70021,0.00%,31.127072,0.95%,Low difficulty to fill,11.11%
Port Management,31835.111946,0.00%,26.546547,3.32%,Medium difficulty to fill,-8.70%
CADKEY,16425.942634,0.00%,27.556886,1.78%,Low difficulty to fill,-16.67%
Apple HealthKit,68124.933394,0.00%,26.908397,7.20%,High difficulty to fill,0.00%
Bentley LumenRT,13556.087872,0.00%,25.428571,1.35%,Low difficulty to fill,0.00%
Integrated Banking Solutions (IBS),7112.406622,0.00%,28.268041,0.79%,Low difficulty to fill,-31.58%
Business Process Monitoring (BPM),51859.89132,0.00%,27.800847,5.68%,High difficulty to fill,0.00%
FastExport,55449.063513,0.00%,23.191011,4.99%,Medium difficulty to fill,-100.00%
Print Finishing Systems,0,0.00%,31.14587,0.00%,Low difficulty to fill,-7.14%
Intrathecal Pumps,61845.342634,0.00%,28.87907,7.05%,High difficulty to fill,3.57%
Open End Wrenches,0,0.00%,30.807525,0.00%,Low difficulty to fill,-29.63%
Implied Volatility,76123.837872,0.00%,32.027778,9.70%,High difficulty to fill,-25.00%
Automated Clearing House,316.481297,0.06%,31.009403,0.04%,Low difficulty to fill,-3.29%
Criminal Corrections,0,0.10%,28.815581,0.00%,Low difficulty to fill,3.77%
Osteopathic Manipulative Medicine,48832.240404,0.00%,33.880478,6.61%,High difficulty to fill,2.78%
Change Management Strategy,59335.132269,0.03%,29.290309,6.87%,High difficulty to fill,0.00%
Health Information Technology,26121.072923,0.03%,29.953566,3.10%,Medium difficulty to fill,1.52%
Gel Electrophoresis Of Proteins,5082.266107,0.01%,28.135626,0.56%,Low difficulty to fill,10.84%
Pricing Systems,14140.953168,0.01%,30.198486,1.69%,Low difficulty to fill,0.69%
Metadata Repository,55246.490434,0.00%,28.422516,6.19%,High difficulty to fill,-1.23%
Admin Tools,26126.69082,0.00%,29.780728,3.08%,Medium difficulty to fill,-1.27%
Rapid Response Team,33197.552759,0.01%,29.67322,3.90%,Medium difficulty to fill,-2.95%
Systemic Risk,30722.615313,0.00%,29.375874,3.57%,Medium difficulty to fill,4.17%
Digital Content Management,21659.055094,0.01%,30.749772,2.64%,Low difficulty to fill,4.86%
Loan Servicing Systems,4071.398444,0.00%,28.457293,0.46%,Low difficulty to fill,2.33%
Transient Transfections,28808.714062,0.00%,29.257353,3.33%,Medium difficulty to fill,3.85%
Learning Aids,0,0.00%,31.315358,0.00%,Low difficulty to fill,-1.79%
E-Waste,0,0.00%,30.057254,0.00%,Low difficulty to fill,-5.42%
Powerpivot,39471.765145,0.00%,29.827511,4.66%,Medium difficulty to fill,0.00%
Concert Dancing,12543.767182,0.00%,32.059081,1.60%,Low difficulty to fill,4.92%
Fabric Operating System,39800.422487,0.00%,23.804878,3.68%,Medium difficulty to fill,0.00%
Genetics Testing,34270.736203,0.01%,28.85007,3.90%,Medium difficulty to fill,1.70%
Apache MXNet,91790.831811,0.00%,27.602294,9.97%,High difficulty to fill,-9.57%
IdentityIQ,63222.644483,0.01%,27.342466,6.80%,High difficulty to fill,10.42%
Mechanical Electrical Plumbing (MEP) Design Software,29104.423986,0.01%,29.733853,3.43%,Medium difficulty to fill,1.71%
Locomotive Inspection,2797.261716,0.00%,32.993166,0.37%,Low difficulty to fill,-4.76%
Mixed Media,14254.189997,0.00%,30.515491,1.72%,Low difficulty to fill,8.89%
Shift-Left Testing,67095.158456,0.01%,27.837321,7.36%,High difficulty to fill,6.60%
Mesosphere,75388.491159,0.00%,28.984513,8.63%,High difficulty to fill,-100.00%
SAP Business ByDesign,27918.998656,0.00%,27.285714,3.00%,Medium difficulty to fill,0.00%
SAP Project Management,70044.338279,0.00%,24.62096,6.72%,High difficulty to fill,1.82%
Outdoor Advertising,3944.702059,0.00%,25.744409,0.40%,Low difficulty to fill,-2.35%
Application Security Testing,80195.46726,0.01%,29.572957,9.38%,High difficulty to fill,5.62%
Less-Than-Truckload Shipping,0,0.02%,29.808564,0.00%,Low difficulty to fill,4.12%
Jointer,0,0.00%,32.816199,0.00%,Low difficulty to fill,-3.64%
Ekahau Site Survey,49772.680615,0.00%,28.576405,5.61%,High difficulty to fill,-8.33%
Geometric Design Of Highways,25788.811151,0.00%,30.316602,3.10%,Medium difficulty to fill,0.00%
Survey Sampling,23594.48091,0.00%,27.450593,2.55%,Low difficulty to fill,-14.29%
Wildlife Science,0,0.00%,30.145923,0.00%,Low difficulty to fill,-13.16%
Drilling Engineering,67616.057289,0.00%,28.976,7.74%,High difficulty to fill,0.00%
Ethernet Private Lines,3966.117474,0.00%,27.987013,0.44%,Low difficulty to fill,-23.53%
Outlook Web App (Email Clients),4434.360286,0.00%,30.024902,0.53%,Low difficulty to fill,10.42%
F# (Programming Language),65274.300797,0.00%,26.734136,6.85%,High difficulty to fill,-17.86%
Moisture Analysis,0,0.00%,30.546474,0.00%,Low difficulty to fill,0.00%
Wastewater Distribution,7313.648262,0.00%,31.3,0.91%,Low difficulty to fill,-2.94%
TestTrack,19021.143135,0.00%,24.512195,1.82%,Low difficulty to fill,-33.33%
Occupancy Permitting,13030.560459,0.00%,30.202723,1.56%,Low difficulty to fill,11.77%
Days Sales Outstanding,11069.533118,0.00%,31.680313,1.39%,Low difficulty to fill,0.00%
Fixatives,5070.933013,0.00%,31.73945,0.64%,Low difficulty to fill,-12.12%
Lazy Loading,69056.138482,0.00%,25.384466,6.85%,High difficulty to fill,3.12%
Change Risk Assessment,52294.670225,0.00%,26.370044,5.41%,Medium difficulty to fill,-5.88%
Clinical Document Architecture,45374.654034,0.00%,28.076471,5.02%,Medium difficulty to fill,-6.45%
Silvics,14942.002728,0.00%,23.60221,1.37%,Low difficulty to fill,-5.56%
Methicillin-Resistant Staphylococcus Aureus,9024.982316,0.00%,29.617834,1.06%,Low difficulty to fill,1.47%
IBM General Parallel File Systems,55718.476074,0.00%,27.464567,6.02%,High difficulty to fill,0.00%
Energy Analysis,30932.51106,0.01%,31.383194,3.86%,Medium difficulty to fill,-22.27%
Peacebuilding,18865.519353,0.00%,32.10461,2.41%,Low difficulty to fill,-4.69%
Social And Behavior Change Communication,17182.643933,0.00%,30.666667,2.09%,Low difficulty to fill,-40.00%
Service Provisioning,43083.461239,0.00%,26.685612,4.51%,Medium difficulty to fill,-6.59%
Fusion Welding,1082.104293,0.00%,27.946043,0.12%,Low difficulty to fill,-13.33%
Solar Collectors,0,0.00%,31.342466,0.00%,Low difficulty to fill,8.33%
Phase-Shift Keying,73175.494493,0.00%,28.437838,8.21%,High difficulty to fill,4.76%
Coagulation Testing,31436.246663,0.00%,31.097473,3.88%,Medium difficulty to fill,17.65%
Hyperspectral Imaging,44781.759391,0.00%,26.355422,4.63%,Medium difficulty to fill,-100.00%
Server Supported Gaming,750.381909,0.00%,39.229391,0.12%,Low difficulty to fill,0.00%
Cultural Competency Training,7668.448366,0.00%,33.149194,1.01%,Low difficulty to fill,-2.63%
Atherectomy,71760.937097,0.00%,27.480851,7.76%,High difficulty to fill,-5.26%
Crashlytics,72529.364505,0.00%,24.383028,6.89%,High difficulty to fill,4.35%
SUSE Linux,50822.838261,0.00%,26.822572,5.35%,Medium difficulty to fill,2.94%
Netconf,62313.69361,0.00%,24.745763,6.01%,High difficulty to fill,-20.00%
Webpack 4,59812.687872,0.00%,22.148649,5.11%,Medium difficulty to fill,0.00%
Zippers,0,0.00%,32.226776,0.00%,Low difficulty to fill,-2.86%
Cognitive Disorders,36639.378078,0.00%,31.20551,4.54%,Medium difficulty to fill,0.00%
SAMtools,33337.160823,0.00%,31.703057,4.20%,Medium difficulty to fill,6.25%
Macromedia Flex Markup Language (MXML),62061.844324,0.00%,28.345455,6.94%,High difficulty to fill,-25.00%
Compensatory Education,4501.342593,0.00%,28.88664,0.51%,Low difficulty to fill,-12.00%
Artilleries,0,0.00%,27.301205,0.00%,Low difficulty to fill,-33.33%
CCURE (Security And Event Management System),0,0.01%,28.505778,0.00%,Low difficulty to fill,-3.90%
Packet Data Convergence Protocol,69991.535295,0.00%,25.205273,6.89%,High difficulty to fill,-3.85%
Malware Detection,56649.523726,0.00%,28.812121,6.45%,High difficulty to fill,7.02%
Titanium Alloy,16723.506622,0.00%,27.26087,1.79%,Low difficulty to fill,-25.00%
Foreign Tax Credit,63931.153203,0.00%,30.154599,7.64%,High difficulty to fill,5.10%
Saxophone,5841.626582,0.00%,32.714,0.76%,Low difficulty to fill,-11.32%
Electromagnetic Radiation,26150.163274,0.00%,30.71822,3.19%,Medium difficulty to fill,0.00%
Clinical Data Warehouse,49356.476016,0.00%,28.702355,5.59%,High difficulty to fill,-7.14%
Mature Market,69415.688222,0.00%,30.865672,8.50%,High difficulty to fill,0.00%
Simple Logging Facade For Java (SLF4J),64234.721593,0.00%,26.814404,6.76%,High difficulty to fill,-9.09%
Protel,0,0.00%,31.263158,0.00%,Low difficulty to fill,-25.00%
Public Order,0,0.00%,32.274021,0.00%,Low difficulty to fill,-16.28%
Ion Channels,15550.427965,0.00%,30.047904,1.85%,Low difficulty to fill,0.00%
Alibre Design,4618.037872,0.00%,31.461538,0.58%,Low difficulty to fill,0.00%
Qunit,59880.803116,0.00%,25.420043,5.95%,High difficulty to fill,-16.67%
Wistia,19598.946963,0.00%,30.516588,2.37%,Low difficulty to fill,25.00%
Icon Design,38147.080126,0.00%,30.112281,4.55%,Medium difficulty to fill,14.29%
RF Switch,56421.059073,0.00%,30.548857,6.83%,High difficulty to fill,-3.57%
Guided Meditation,0,0.00%,37.818182,0.00%,Low difficulty to fill,20.00%
Routing Loop Problem,71903.579539,0.00%,24.277778,6.80%,High difficulty to fill,0.00%
Technical Demonstrations,54539.025214,0.00%,29.785075,6.43%,High difficulty to fill,7.14%
Progress Db,56078.037872,0.00%,23.571429,5.13%,Medium difficulty to fill,0.00%
Stubbing,45369.765612,0.00%,32.54902,5.88%,High difficulty to fill,0.00%
Serial Peripheral Interface Bus,71275.867659,0.00%,28.606742,8.05%,High difficulty to fill,0.00%
Pandemic Readiness,36127.172071,0.00%,29.859848,4.27%,Medium difficulty to fill,-33.33%
SlideShare,273.321454,0.00%,31,0.03%,Low difficulty to fill,-25.00%
Currency Converter,42768.500559,0.00%,23.375,3.88%,Medium difficulty to fill,-100.00%
Medical Supply Management,12950.004977,0.00%,30.819672,1.58%,Low difficulty to fill,-16.67%
File Format,24804.454539,0.00%,30.4,2.99%,Medium difficulty to fill,0.00%
Executive Conversations,86022.979048,0.00%,27.104348,9.16%,High difficulty to fill,0.00%
Hydraulic Transmissions,5743.755489,0.00%,31.912052,0.73%,Low difficulty to fill,-11.29%
Thoracic Endovascular Aneurysm Repair,94493.930954,0.00%,28.260054,10.53%,High difficulty to fill,-22.50%
Sinatra (Software),52385.365145,0.00%,28.653846,5.92%,High difficulty to fill,-13.64%
Digital Learning Technology,24726.906622,0.00%,30.034843,2.94%,Medium difficulty to fill,0.00%
Orchiectomy,148721.890813,0.00%,34.0625,20.23%,High difficulty to fill,0.00%
Dfsort,51516.326334,0.00%,24.216667,4.86%,Medium difficulty to fill,16.67%
PyQt,61327.129615,0.00%,28.614213,6.93%,High difficulty to fill,17.95%
Reduction (Orthopedic Surgery),51504.174236,0.00%,31.465465,6.44%,High difficulty to fill,-3.92%
DNA Electrophoresis,3182.185759,0.00%,29.663158,0.37%,Low difficulty to fill,0.00%
Aeronautical Message Handling Systems,24913.609301,0.00%,27.728814,2.72%,Low difficulty to fill,-30.00%
Vowpal Wabbit,144133.350372,0.00%,34.142857,19.66%,High difficulty to fill,0.00%
Thermoelectric Cooling,3343.037872,0.00%,34.875,0.47%,Low difficulty to fill,0.00%
Neutrophils,38954.7182,0.00%,31.033333,4.80%,Medium difficulty to fill,0.00%
Ground Forces,0,0.00%,24.25641,0.00%,Low difficulty to fill,-37.50%
3M (Software),5030.007872,0.00%,29.256757,0.58%,Low difficulty to fill,-100.00%
Domain Model,76936.002158,0.00%,27.465409,8.31%,High difficulty to fill,-100.00%
Gracenote,34791.622487,0.00%,30.173554,4.16%,Medium difficulty to fill,-20.00%
Music Scheduling Systems,3531.879977,0.00%,33.015873,0.46%,Low difficulty to fill,0.00%
Bioluminescence Imaging,52135.653257,0.00%,33.822222,7.04%,High difficulty to fill,0.00%
iKnowMed EHR,6326.167742,0.00%,29.233871,0.73%,Low difficulty to fill,-5.88%
J Sharp,53887.426761,0.00%,29.825243,6.36%,High difficulty to fill,-58.33%
Multicultural Studies,15756.575402,0.00%,33.799443,2.13%,Low difficulty to fill,10.81%
BlackBerry Enterprise Servers,16067.236285,0.00%,26.285714,1.66%,Low difficulty to fill,0.00%
ISpring Suite,23690.626551,0.00%,29.666667,2.78%,Medium difficulty to fill,-10.00%
Digital Entertainment Content Ecosystem,10551.373938,0.00%,22.285714,0.91%,Low difficulty to fill,0.00%
Video Optimization,9969.714564,0.00%,28.193717,1.11%,Low difficulty to fill,-11.77%
Micro Focus UCMDB,54202.837872,0.00%,26.422764,5.62%,High difficulty to fill,-18.18%
SEL Relays,40189.307103,0.00%,31.504464,5.03%,Medium difficulty to fill,-3.03%
FIDIC Templates,55701.674236,0.00%,27.471264,6.02%,High difficulty to fill,23.08%
Markov Process,0,0.00%,26.6,0.00%,Low difficulty to fill,0.00%
Rules Of Origin,21276.845564,0.00%,27.177665,2.27%,Low difficulty to fill,10.00%
Wetland Conservation,366.782357,0.00%,23.919271,0.03%,Low difficulty to fill,-3.33%
Main Bearing,0,0.00%,32.622951,0.00%,Low difficulty to fill,-20.00%
Maltego,85735.488203,0.00%,29.305882,9.93%,High difficulty to fill,-18.75%
Observational Error,40485.480495,0.00%,31.633745,5.09%,Medium difficulty to fill,-8.33%
GigE Vision,76917.437872,0.00%,26.018868,7.84%,High difficulty to fill,0.00%
Mail Forwarding,0,0.00%,31.121212,0.00%,Low difficulty to fill,-7.14%
Semantic Parsing,56108.725372,0.00%,27.26087,6.01%,High difficulty to fill,0.00%
IQNavigator,29797.798435,0.00%,28.95,3.41%,Medium difficulty to fill,-54.54%
Microsoft Sync Framework,10837.49941,0.00%,28.435897,1.22%,Low difficulty to fill,-100.00%
GAMESS,37097.287872,0.00%,28.625,4.19%,Medium difficulty to fill,0.00%
Erythrocyte Sedimentation Rate,1381.037872,0.00%,30.35443,0.17%,Low difficulty to fill,8.00%
International Credit,23774.244943,0.00%,30.521739,2.88%,Medium difficulty to fill,-27.27%
Electrical Resistivity And Conductivity,0,0.00%,31.933155,0.00%,Low difficulty to fill,-4.44%
Pseudocode,62825.260094,0.00%,20.380952,4.90%,Medium difficulty to fill,-100.00%
Neuropharmacology,33854.037872,0.00%,34.657143,4.69%,Medium difficulty to fill,-11.11%
Atom (Element Component),66131.537872,0.00%,28.535714,7.45%,High difficulty to fill,33.33%
Basic Fire Fighting,0,0.00%,33.978723,0.00%,Low difficulty to fill,-22.22%
Search Analysis,27444.575608,0.00%,26.214286,2.82%,Medium difficulty to fill,0.00%
Stochastic Optimization,72912.87571,0.00%,27.725714,7.96%,High difficulty to fill,0.00%
Federal Geographic Data Committee (FGDC) Standards,13469.051431,0.00%,29.547872,1.57%,Low difficulty to fill,-16.67%
