Skills_Label,Growth Category,Mid Scenario
Business Events,Stable,2.03%
Laser Levels,Stable,6.31%
Grapple Truck,Growing,12.50%
Computer-Assisted Legal Research,Rapidly Growing,10.00%
Plant Physiology,Lagging,-10.00%
Apptus,Rapidly Growing,-33.33%
Cyber Security Policy Development,Stable,6.17%
Digital Citizenship,Lagging,-12.77%
Cron,Lagging,3.41%
Vaadin,Rapidly Growing,-11.11%
Audience Analysis,Lagging,-1.22%
Raw Data,Rapidly Growing,4.17%
Database Theory,Lagging,-33.33%
Wedding Videography,Lagging,-16.28%
Triple Bottom Line (TBL),Stable,2.86%
Cloud Security Infrastructure,Rapidly Growing,3.57%
Thyroid Cancer,Growing,-8.33%
Systematized Nomenclature Of Medicine,Lagging,-10.18%
Digital Rights Management,Growing,12.96%
Accrued Liabilities,Stable,0.00%
Solar Panel Assembly,Growing,-12.12%
Financial Law,Growing,-4.63%
High-Speed Downlink Packet Access,Rapidly Growing,-100.00%
Voice UI Design,,
Optical Test Equipment,Lagging,-7.14%
Radiosurgery,Growing,-14.29%
Power YOGA,Lagging,-12.50%
Personal Information Protection And Electronic Documents Act,Rapidly Growing,-7.14%
Oracle FLEXCUBE,Rapidly Growing,-12.50%
Registered Jacks,Growing,-10.35%
Computer Network Defense,Stable,1.85%
Media Resource Control Protocol (Server),Rapidly Growing,50.00%
SMS,,
Partial Discharge,Growing,-20.46%
Conversion Coating,Growing,0.00%
Laser Machine Controls,Growing,-3.81%
Fluid Catalytic Cracking,Lagging,-37.84%
Microsoft Enterprise Project Management,Stable,-18.75%
User Datagram Protocol,Growing,-20.00%
Android Middleware,Rapidly Growing,0.00%
Operating Expense Trends,Rapidly Growing,0.00%
Outboard Motors,Stable,-3.92%
MLflow,Growing,4.90%
XML Validation,Rapidly Growing,0.00%
Sports Journalism,Rapidly Growing,7.58%
Higher Education Leadership,Rapidly Growing,-4.50%
Azure Load Balancer,Rapidly Growing,-11.11%
IEC 60601,Growing,-2.14%
Analog Filters,Growing,-8.33%
Azure Blueprints,Lagging,-20.93%
Google Patents,,
Microsoft Business Intelligence,Growing,6.92%
Metacognition,Growing,5.95%
Cardiac Nursing,Lagging,-3.12%
Arbortext,Growing,-4.17%
Inotropic Therapy,Growing,-13.79%
Cast Iron,Stable,-0.28%
Affirmative Action Compliance,Growing,7.32%
Stonemasonry,Lagging,-5.80%
Professional Audio,Lagging,-8.61%
OpenDeploy,Rapidly Growing,0.00%
Mortiser,Rapidly Growing,-7.41%
Criminal Justice Policy,Rapidly Growing,0.00%
UberSuggest (SEO Software),Rapidly Growing,0.00%
GNU Libtool,,
Supplemental Type Certificates,Growing,6.25%
Mitral Valve Repair,Stable,-7.14%
Fused Deposition Modeling,Stable,-2.78%
DNA Microarray,Rapidly Growing,-50.00%
PostCSS,Rapidly Growing,-21.43%
Hydraulic Test Equipment,Lagging,-18.18%
Spring Cloud Stream,Rapidly Growing,-12.50%
Naive Bayes Classifier,Rapidly Growing,-4.35%
Plain Text,Rapidly Growing,11.11%
Emarsys,Lagging,-21.43%
CADwork,Rapidly Growing,0.00%
Electrochemical Cell,Rapidly Growing,5.88%
Quantum Mechanics,Rapidly Growing,4.17%
Google Cloud Build,Stable,-8.16%
Bentley AutoPLANT,Rapidly Growing,-4.54%
Private Law,Growing,1.72%
Motorsport,Growing,-25.00%
String Search,,
OmniScript,Lagging,-10.91%
Cartographic Design,Growing,5.56%
Electron Energy Loss Spectroscopy,Stable,0.00%
Navajo Language,Lagging,-25.00%
Retained Earnings,Lagging,-15.00%
Cytokines,Growing,-2.38%
Allen-Bradley Controls,Stable,7.27%
Tongan Language,Lagging,-57.14%
Carib Language,Growing,-3.85%
Osteoarthritis,Rapidly Growing,6.98%
Nikto Web Scanner,Rapidly Growing,23.08%
Digital Network Architecture,Growing,-27.27%
Breast Augmentation,Growing,0.00%
Film History,Rapidly Growing,0.00%
Folder Security,Growing,0.00%
Heparin Lock,Growing,-9.38%
Transactional Replication,Rapidly Growing,-9.09%
Reservoir Modeling,Lagging,-33.33%
Salvaging,,
Wetland Ecology,Growing,-2.17%
Aircraft Analysis,Rapidly Growing,-50.00%
Inverse Kinematics,Lagging,-37.50%
Camera API,Rapidly Growing,11.11%
Windows Registry,Growing,2.38%
Azerbaijani Language,Lagging,-38.46%
Holistic Therapies,Rapidly Growing,0.00%
Oracle Warehouse Builder,Rapidly Growing,0.00%
Data Feed,Growing,-12.50%
Correspondence Analysis,Lagging,-26.09%
Bus Networks,Rapidly Growing,0.00%
Unfair Labor Practice,Stable,1.47%
Threaded Insert,Rapidly Growing,12.50%
Estonian Language,Rapidly Growing,-40.00%
Protein Precipitation,Rapidly Growing,0.00%
File Extension,Rapidly Growing,-100.00%
Disambiguation,Rapidly Growing,-100.00%
Semantic UI,Rapidly Growing,-50.00%
Electrical Ballast,Growing,-11.11%
UI/UX Planning,Lagging,-19.23%
Early Childhood Education Policy,Growing,9.52%
Karyotype,Lagging,-8.57%
Computer Data Storage,Growing,-26.67%
Evolutionary Genetics,Lagging,-25.00%
Capital Control,Rapidly Growing,-11.11%
Systems Of Equations,Growing,0.00%
PDF Generation,Rapidly Growing,20.00%
UIKit (Apple App Framework),Lagging,0.00%
Google Cloud Security,Stable,0.00%
Compression Fitting,Rapidly Growing,4.35%
Diagnostic Microbiology,Rapidly Growing,0.00%
Hereditary Breast And Ovarian Cancer,Growing,-20.00%
Distributed Object,Rapidly Growing,-100.00%
Financial Operating Systems,Lagging,0.00%
Claus Process,Growing,-12.50%
Alternative Distribution Channels,Rapidly Growing,16.67%
ISight,Rapidly Growing,0.00%
Zumba Fitness,Lagging,0.00%
Traumatology,Rapidly Growing,0.00%
Visual Control,Lagging,-10.00%
Valvetrain,Rapidly Growing,-40.00%
Gcov,Rapidly Growing,50.00%
Cryosurgery,Lagging,-50.00%
ATP/EMTP Software,Rapidly Growing,-11.11%
Advocacy Journalism,Lagging,-50.00%
Intermec,Rapidly Growing,3.33%
Metal Building Software,Rapidly Growing,-10.00%
Atomic Layer Deposition,Growing,0.00%
SeeTest,Rapidly Growing,8.33%
Sparkr,Growing,-28.57%
Techniques Of Genetic Engineering,Lagging,-50.00%
Ecological Services,Growing,3.33%
Google Webmaster Tools,Lagging,-60.00%
Disk Cloning,Rapidly Growing,0.00%
FAS 5,Rapidly Growing,6.67%
Testicular Torsion,Lagging,-40.00%
Popliteal Bypasses,Lagging,-4.17%
Expdp,Growing,0.00%
Multiagency Coordination Systems,,
Social Shopping,Rapidly Growing,-22.22%
PC Migration,Lagging,-9.09%
Xmind Software,Lagging,0.00%
Abstract State Machine Language (ASML),Rapidly Growing,25.00%
Educational Statistics,Growing,-11.11%
Dissociation,Growing,4.00%
IPv4 Subnetting Reference,Rapidly Growing,-14.29%
Application Streaming,Rapidly Growing,66.67%
Database Publishing,Rapidly Growing,0.00%
Cloudberry,Lagging,0.00%
Local Variables,Growing,-25.00%
Device Fingerprint,Rapidly Growing,0.00%
TCP Acceleration,Growing,-57.14%
ISO 15022,Growing,0.00%
IIS Manager,Lagging,-10.00%
Virtual Path,,
Acidosis,Rapidly Growing,-66.67%
Pericardial Window,Rapidly Growing,-18.75%
Expression Vector,Lagging,-20.00%
Declaratory Judgment,Lagging,-33.33%
Bootstrap Protocol,Lagging,-42.86%
Custom Post Types,Rapidly Growing,8.33%
BroadVision QuickSilver (Software),Growing,-20.00%
Institute Of Leadership & Management,Rapidly Growing,0.00%
Virtual Routers,Stable,-5.56%
Credit Cycle,Growing,-7.14%
Oracle Developer Suite,Rapidly Growing,33.33%
EMC Clariion,Rapidly Growing,-25.00%
Clarabridge (Software),,
Digital Volt-Ohm Meter,Growing,-12.50%
Doc2vec,Rapidly Growing,-100.00%
News Ticker,Lagging,-100.00%
Bahasa Language,Lagging,-28.57%
NetLogo,Rapidly Growing,0.00%
Nzsql,,
Appway,Rapidly Growing,0.00%
Web Access Control,Lagging,-50.00%
Insulin Resistance,Growing,-10.00%
Adenoidectomy,Growing,-16.67%
SilverStripe,Lagging,-33.33%
ETOM (Enhanced Telecom Operations Map),Rapidly Growing,-50.00%
IBM Informix-4GL,Rapidly Growing,33.33%
PowerFactory,Rapidly Growing,-9.09%
Architectural Visualization,Rapidly Growing,50.00%
Iframe,Rapidly Growing,0.00%
Net2phone,,
Network Allocation Vector,Lagging,-50.00%
Integrated Security Management System,Lagging,-1.67%
Bio-MEMS,Lagging,-50.00%
Peer To Peer Remote Copy,Lagging,-50.00%
DIVA Software,Rapidly Growing,0.00%
Gel Extraction,Lagging,-50.00%
Website Monetization,,
Pregnancy Ultrasound,Growing,0.00%
PowerISO,,
OptiTrack,Lagging,-25.00%
Xforms,Lagging,0.00%
Phase Margin,Rapidly Growing,-50.00%
BASIC Stamp,Lagging,-100.00%
Criminological Theory,Lagging,-11.11%
Sex Therapy,Growing,-14.29%
Google Colaboratory,Rapidly Growing,0.00%
Two-Hybrid Screening,Rapidly Growing,-100.00%
If This Then That,,
Position Tolerance,Lagging,-50.00%
Electronic Program Guide,Lagging,-33.33%
Prewriting,Lagging,-50.00%
Section508,Lagging,-100.00%
Board Bi,Rapidly Growing,-25.00%
Conditional Text,Lagging,0.00%
Ammoniacal Nitrogen,,
A3 Problem Solving Techniques,Lagging,0.00%
User Space,Rapidly Growing,-50.00%
Cognitive Neuropsychology,,
Drug Regulatory Affairs,Rapidly Growing,-25.00%
Covered Call,Lagging,-33.33%
Latex Fixation Tests,Lagging,-50.00%
Adobe ImageReady,Rapidly Growing,50.00%
FAST ESP,,
Starter Solenoid,,
Microsoft Delve,Rapidly Growing,-66.67%
RichCopy,,
Intermittent Mandatory Ventilation,Rapidly Growing,-100.00%
Dual In-Line Memory Module (DIMM),Lagging,-33.33%
Adserver,Lagging,-100.00%
Video Logging,Lagging,-100.00%
Java Compilers,Lagging,-100.00%
System Programming Language,Rapidly Growing,0.00%
InteliChart,,
Central Clearing And Settlement System (CCASS),,
Zypper,Rapidly Growing,-100.00%
Virtual Data Room,,
Remote Function Call,Lagging,-25.00%
Windows Mail,,
Simultaneous Equations Model,Lagging,0.00%
Signal Reconstruction,Rapidly Growing,0.00%
Genetic Markers,Growing,0.00%
Impact Dynamics,Rapidly Growing,0.00%
Asynchronous Serial Communication,Lagging,-20.00%
CoreSpotlight,,
Template Toolkits,Lagging,-50.00%
Artistic Rendering,Lagging,0.00%
Transpose,Lagging,-60.00%
McAfee Network Security,Lagging,-100.00%
Microfiber,,
Officer Personnel Information System,,
UITableView,,
Filter Binding Assay,,
Fixation,Growing,-5.08%
Damage Waivers,Lagging,-25.00%
MrSID,Lagging,-20.00%
Visual FoxPro,Lagging,-31.25%
Sports Recruitment,Rapidly Growing,-14.29%
Current Ratios,Rapidly Growing,-20.00%
Extended File Attributes,Lagging,0.00%
Advanced Joint Effectiveness Model,Lagging,-50.00%
Entertainment Journalism,Lagging,-50.00%
External Beam Radiotherapy,Lagging,-6.90%
SAP Frontend,Lagging,-100.00%
Lule Language,Lagging,-50.00%
Searchable Encryption,,
Vertical Banded Gastroplasty Surgeries,,
Devkit,,
UIWebView,Lagging,-100.00%
C# Fundamentals,,
MicroStrategy Report Services,,
SAP Sybase SQL Anywhere,Rapidly Growing,-100.00%
Legal Publications Review,Lagging,-100.00%
Natural Language User Interface,,
Artificial Photosynthesis,,
Lotus Sametime,Lagging,-100.00%
Tensile Membrane Structures,,
Teechart,,
Hidden Curriculum,Lagging,-33.33%
Rail Yard,,
Autofocus,,
Hierarchical File Systems,,
CanCan (Software),,
HP Storageworks,,
Gateway Electronic Medical Management Systems,,
Top-Down And Bottom-Up Design,,
SQL-2003,,
Combustor,,
Vapor Pressure Osmometry,Lagging,-100.00%
Sqlxml,,
FrontPage Server Extensions,,
Concrete Masonry Unit,,
Turbo Assembler,,
XLink,,
Possession Proceedings,,
Vertical Scroll,,
NATO Logistics,,
TortoiseHg,Lagging,0.00%
Generic Mapping Tools,,
Loop Nest Optimization,,
Marching Cubes,,
Advanced Video Coding High Definition (AVCHD),,
Helicopter Dynamics,,
Oracle iPlanet Web Server,,
Liferay 6.2,,
Aforge,,
Dead Bolt,,
XOOPS,,
Analytical Psychology,,
Microsoft Photo Editor,,
Modularization,,
GoCAD,,
Unconventional Weapons,,
Shibori,,
Land Mine,,
Inmobi,,
Tecnomatix,,
Password Generator,,
Webgrid,,
Distributed Tactical Communications Systems,,
Saponification Value,,
James Webb Space Telescope,,
Fastreport,,
XAudio2,,
Billback,,
Voice Compression,,
Copper Wire And Cable,,
Luceo (Applicant Tracking System),,
Hair Loss,,
Speech Recognition Grammar Specification,,
Non-Negative Matrix Factorization,,
Queueing Systems,,
Multinucleate,,
Stat Camera,,
Institute Of Technical Education,Lagging,-100.00%
C Compilers,,
DSPAM,,
Berg Balance Scale,,
Floating Raft Systems,,
Polarography,,
DCF Interframe Space,,
IBM System/360,,
Log-Normal Distribution,,
SAE J1922 Standard,,
Ember Model,,
VHF Radios,,
Marketing Concepts,Stable,5.04%
Microsoft Azure,Rapidly Growing,4.70%
Carpentry,Growing,-1.42%
Computer Architecture,Stable,7.08%
Service Innovation,Stable,-4.64%
Bilingual (Spanish/English),Lagging,-5.55%
Nursing Administration,Stable,-4.06%
SAP Applications,Rapidly Growing,-3.07%
Labor Law,Stable,-3.11%
Local Area Networks,Growing,-5.74%
Web Pages,Growing,-2.07%
Inventory Management System,Growing,-2.21%
Curriculum Development,Growing,-6.90%
RS-422,Stable,1.98%
Healthcare Industry Knowledge,Lagging,-3.26%
Acute Care,Growing,-1.03%
Low Voltage,Growing,2.74%
Sleep Medicine,Lagging,0.61%
Document Object Model,Stable,6.42%
Data Integrity,Growing,-0.97%
User Interface (UI) Design,Growing,2.52%
Outbound Calls,Rapidly Growing,4.06%
Payroll Systems,Growing,3.85%
Bibliography,Growing,3.70%
Speeds And Feeds,Stable,-9.90%
Instrumentation,Growing,-0.92%
Oracle Human Capital Management (HCM),Lagging,-10.32%
Electrical Testing Instruments,Stable,1.92%
Material Flow Management,Growing,3.27%
Business Writing,Growing,-2.34%
Materials Transport,Lagging,-5.51%
Sawing,Stable,-0.18%
Corporate Finance,Growing,5.68%
Biosafety,Stable,-0.71%
Pharmaceutical Sciences,Stable,6.86%
Process Development,Growing,5.70%
Passenger Service,Lagging,-0.70%
CNC Milling,Growing,-0.88%
Medicines And Healthcare Products Regulatory Agency (MHRA) Guides,Growing,8.09%
Social Media Outreach,Growing,-8.08%
Post-Production,Stable,-0.67%
Target Accounts,Growing,-4.10%
Cloud Computing Architecture,Growing,6.07%
Enterprise Sales,Stable,-4.49%
Tissue Preparation,Lagging,-3.39%
Operations Security,Stable,1.04%
Battle Management Technology,Stable,1.63%
Visual Simulations,Growing,9.09%
Welding Equipment,Growing,-5.29%
Banking Services,Stable,-1.32%
IBM Rational ClearCase,Stable,2.33%
Sample Preparation,Growing,4.42%
Elixir (Programming Language),Stable,-2.83%
Okta,Lagging,-7.83%
Border Gateway Protocol,Stable,-4.89%
Indirect Costs,Rapidly Growing,4.14%
Express Checkout,Growing,4.59%
Community Mental Health,Stable,1.58%
Farming,Stable,-4.61%
Multithreading,Growing,9.62%
Interface Control Document,Lagging,1.24%
Drug Education,Growing,3.23%
Library Research,Growing,-4.52%
Computerized Accounting,Stable,-2.94%
Data Engineering,Growing,2.09%
Cross-Selling,Growing,-2.34%
Transmission,Lagging,-30.96%
Instructional Design,Growing,1.64%
Biomedical Waste,Growing,3.66%
Payroll Reporting,Rapidly Growing,-7.13%
Aftercare,Stable,-4.54%
Unit Testing,Growing,0.43%
Meal Service,Growing,-4.61%
Occupational Medicine,Stable,2.83%
Continuous Integration,Growing,1.61%
Rheumatology,Stable,0.39%
Version Control,Stable,-3.68%
Screwdrivers,Lagging,0.87%
Wildlife Biology,Lagging,-3.73%
Advertising Design,Growing,5.03%
Environmental Compliance,Growing,9.74%
Cabinetry,Growing,-4.20%
Qualification Protocols (IQ/OQ/PQ),Growing,6.92%
Disaster Planning,Stable,3.47%
Water Metering,Stable,2.99%
Community Health,Growing,2.70%
Red Hat Enterprise Linux,Stable,6.71%
Cardiac Arrest,Stable,-0.11%
Payroll Practices,Stable,-1.55%
Perinatal Care,Stable,-11.18%
Stock Control,Growing,5.66%
Services Marketing,Stable,-5.11%
Sleep Apnea,Lagging,-0.39%
Language Experience Approach,Stable,2.71%
Patient Coordination,Growing,-2.44%
SketchUp (3D Modeling Software),Growing,-4.44%
Electronic Discovery,Growing,5.86%
Cyber Security Policies,Rapidly Growing,11.40%
Project Closure,Growing,5.12%
Account Strategy,Growing,-1.26%
Test Management,Stable,-0.52%
Mechanical Drafting,Stable,0.00%
Energy Demand Management,Stable,-1.00%
Web Application Security,Stable,2.18%
Blog Posts,Growing,9.58%
Chronic Care,Growing,2.15%
Barcoding,Lagging,-0.70%
Shift Scheduling,Growing,-14.01%
Soil Sampling,Growing,-0.17%
Electronic Engineering,Stable,0.30%
Distribution Center Operations,Lagging,2.30%
Communication Platforms,,
Capability Maturity Model Integration,Growing,4.01%
Governance and Compliance Strategy,,
Extensible HyperText Markup Language (XHTML),Lagging,-4.66%
Mechanical Drawings,Stable,3.74%
Google Play,Rapidly Growing,7.58%
Rectifier,Stable,-1.25%
Mental Health First Aid,Rapidly Growing,21.05%
Transgenic Mice,Lagging,-1.20%
SAP APO,Stable,3.80%
Health Care Finance Administration (HCFA) Regulations,Growing,-5.15%
Batch Sheets,Stable,5.99%
Digital Banking,Stable,-3.31%
Test Harness,Stable,-8.77%
Matplotlib (Python Package),Stable,-4.70%
Web Development Tools,Rapidly Growing,6.06%
Sustainability Standards,Stable,-6.17%
Engineering Research,Stable,-0.77%
Type Approval,Rapidly Growing,0.00%
Glucose Testing,Stable,4.88%
Contractor Management,Rapidly Growing,6.43%
Methadone,Growing,8.18%
CNC Programming,,
Ammonia,Stable,4.38%
Flight Nursing,Growing,-5.18%
TeleCommunications Device For The Deaf,Growing,-43.16%
Mathematical Optimization,Lagging,-6.56%
Substance Abuse Prevention,Stable,5.50%
Korn Shell,Lagging,-11.36%
Business Lending,Stable,-0.57%
Compaction Rollers,Growing,-4.76%
Real-Time Operating Systems,Stable,5.07%
Confluent,Rapidly Growing,12.43%
Verisign,Lagging,-33.33%
Performance Systems Analysis,Stable,2.71%
Electricity Generation,Growing,-14.85%
Web Publishing,Lagging,-8.13%
Corporate Reporting,Growing,9.46%
Colocation,Rapidly Growing,10.03%
Credit Analysis,Growing,-2.07%
XML Schema,Lagging,-2.22%
Notetaking,Stable,2.97%
Security Context,Stable,-15.38%
Government Marketing,Lagging,-20.41%
Rust (Programming Language),Growing,5.85%
RAID,Lagging,-2.17%
Trial Master File,Lagging,3.57%
Deterministic Methods,Growing,-0.81%
Email Software,Growing,3.44%
Poultry Science,Stable,1.06%
Premises Liability,Growing,-11.33%
Terminal Emulators,Rapidly Growing,-7.14%
Kendo UI (User Interface Framework),Lagging,-1.30%
Reflective Practice,Growing,-5.49%
Diagnostic Analysis,Growing,-1.33%
Syslog,Lagging,-0.86%
Alternative Energy,Stable,-4.65%
Product Literature,Growing,-0.81%
Pega PRPC,Lagging,-4.60%
Folklore,Rapidly Growing,-5.00%
Load Flow Analysis,Rapidly Growing,-7.41%
Embedded C,Stable,2.33%
Scouting,Growing,-11.43%
Data-Structured Language,Growing,-5.26%
Computer Forensics,Stable,2.39%
Collaborative Planning Forecasting And Replenishment (CPFR),Lagging,1.14%
Operative Report,Growing,-4.00%
Wire Crimpers,Stable,1.49%
Secure Remote Password Protocols,Stable,0.00%
Deep Sequencing,Lagging,-10.53%
Clinical Data Review,Lagging,-23.51%
Underwater Acoustics,Stable,-12.39%
IP Pbx,Lagging,-30.95%
Medisoft,Stable,-7.32%
Stepper,Growing,1.47%
Engine Machining,Rapidly Growing,-100.00%
Nephritis,Lagging,-20.00%
Technical Engineering,Rapidly Growing,-3.89%
Changing Oil,Stable,-5.72%
Nurse Education,Stable,0.39%
Tax Software,Growing,4.36%
Blogs,Growing,10.35%
Behavior Management,Lagging,-0.02%
Photo Editing,Stable,5.33%
Marketing Planning,Growing,-1.58%
Mental Diseases,Growing,-2.65%
MicroStrategy,Rapidly Growing,-25.00%
SEC Filing,Growing,-2.27%
Workmanship,Growing,-3.34%
Debt Management Planning,Lagging,-5.29%
Non-Invasive Procedures,Lagging,-0.64%
Machine Guarding,Lagging,-15.06%
IEEE 802.3,Growing,4.65%
Merchandise Planning,Growing,-1.07%
Social-Emotional Learning (SEL),Lagging,-9.62%
Methods Of Production,Lagging,-7.04%
Client Education,Lagging,0.12%
Data Reduction,Lagging,1.15%
Syntax,Stable,-1.23%
Microsoft Frontpage,Rapidly Growing,-50.00%
Highway Design,Lagging,-0.24%
Exploratory Testing,Lagging,0.51%
Lighting Systems,Lagging,-7.19%
Sprint Retrospectives,Stable,6.77%
Data Mapping,Growing,0.40%
Dosage Calculation,Lagging,-0.65%
Entity Framework,Growing,-3.15%
Code Reuse,Stable,5.31%
Reinsurance,Growing,-5.14%
Appliance Cleaning,Rapidly Growing,-4.44%
Primary Market,Growing,5.68%
Chemical Safety,Growing,10.04%
Service Component Architecture,Lagging,-35.90%
Antenna Installation,Growing,-10.28%
Weight Management,Lagging,-3.50%
Supplier Development,Stable,4.42%
ActionScript,Lagging,-100.00%
Industrial Production,Stable,-7.64%
Attentive Service,Stable,6.59%
Greenhouse Gas,Rapidly Growing,-20.94%
Rheometer,Growing,3.57%
Business Development Company (BDC),Growing,-0.98%
Palliative Care Nursing,Lagging,-4.35%
Nuclear Safety,Rapidly Growing,-5.98%
