Occupation,Skill_Name,Frequency_in_the_market
Dietary Aide,Communication,21.25%
Dietary Aide,Cooking,17.86%
Dietary Aide,Mopping,13.57%
Dietary Aide,Infection Control,12.91%
Dietary Aide,Nutrition Services,12.76%
Dietitian / Nutritionist,Registered Dietitian (RD/RDN),75.75%
Dietitian / Nutritionist,Dietetics,46.89%
Dietitian / Nutritionist,Nutritional Assessment,37.88%
Dietitian / Nutritionist,Communication,31.88%
Dietitian / Nutritionist,Clinical Nutrition,28.32%
Dietitian / Nutritionist,Medical Nutrition Therapy,26.80%
Dietitian / Nutritionist,Food Services,25.45%
Dietitian / Nutritionist,Nutrition Education,21.66%
Dietitian / Nutritionist,Nutrition Services,20.56%
Dietitian / Nutritionist,Management,19.84%
Digital Content Producer / Manager,Communication,47.53%
Digital Content Producer / Manager,Marketing,38.67%
Digital Content Producer / Manager,Social Media,36.40%
Digital Content Producer / Manager,Content Creation,31.00%
Digital Content Producer / Manager,Writing,29.84%
Digital Content Producer / Manager,Editing,24.50%
Digital Content Producer / Manager,Detail Oriented,21.89%
Digital Content Producer / Manager,Research,21.51%
Digital Content Producer / Manager,Management,20.43%
Digital Content Producer / Manager,Digital Content,18.14%
Director of Instruction / Curriculum Specialist,Teaching,54.39%
Director of Instruction / Curriculum Specialist,Communication,48.03%
Director of Instruction / Curriculum Specialist,Leadership,38.77%
Director of Instruction / Curriculum Specialist,Curriculum Development,30.68%
Director of Instruction / Curriculum Specialist,Planning,30.24%
Director of Instruction / Curriculum Specialist,Management,26.82%
Director of Instruction / Curriculum Specialist,Research,25.66%
Director of Instruction / Curriculum Specialist,Writing,25.16%
Director of Instruction / Curriculum Specialist,Coaching,21.80%
Director of Instruction / Curriculum Specialist,Coordinating,18.95%
Director of Nursing,Nursing,98.23%
Director of Nursing,Registered Nurse (RN),76.87%
Director of Nursing,Leadership,45.13%
Director of Nursing,Management,39.43%
Director of Nursing,Communication,32.00%
Director of Nursing,Operations,29.87%
Director of Nursing,Planning,26.03%
Director of Nursing,Long-Term Care,25.99%
Director of Nursing,Nursing Care,25.70%
Director of Nursing,Supervision,19.00%
Director of Rehabilitation,Rehabilitation,97.71%
Director of Rehabilitation,Management,49.12%
Director of Rehabilitation,Occupational Therapy,41.32%
Director of Rehabilitation,Leadership,41.26%
Director of Rehabilitation,Operations,36.26%
Director of Rehabilitation,Physical Therapy,33.86%
Director of Rehabilitation,Communication,29.33%
Director of Rehabilitation,Speech-Language Pathology,27.48%
Director of Rehabilitation,Billing,22.67%
Director of Rehabilitation,Customer Service,19.07%
Director of Religious Education,Communication,47.69%
Director of Religious Education,Theology,33.85%
Director of Religious Education,Leadership,32.31%
Director of Religious Education,Teaching,30.51%
Director of Religious Education,Coordinating,25.64%
Director of Religious Education,Planning,24.87%
Director of Religious Education,Reconciliation,16.67%
Director of Religious Education,Budgeting,15.90%
Director of Religious Education,Microsoft Office,14.87%
Director of Religious Education,Youth Ministry,13.85%
Director of Religious Education,Writing,13.85%
Director of Religious Education,Microsoft Excel,13.85%
Dishwasher,Cleanliness,35.10%
Dishwasher,Sanitation,34.55%
Dishwasher,Restaurant Operation,32.72%
Dishwasher,Mopping,23.04%
Dishwasher,Food Preparation,21.67%
Dishwasher,Communication,19.13%
Dishwasher,Cooking,17.84%
Dishwasher,Food Safety And Sanitation,17.70%
Dishwasher,Lifting Ability,12.81%
Dishwasher,Detail Oriented,12.20%
Dispatcher,Communication,60.03%
Dispatcher,Customer Service,48.45%
Dispatcher,Operations,29.53%
Dispatcher,Multitasking,28.92%
Dispatcher,Scheduling,22.16%
Dispatcher,Management,21.76%
Dispatcher,Detail Oriented,20.63%
Dispatcher,Problem Solving,16.09%
Dispatcher,Computer Literacy,15.87%
Dispatcher,Data Entry,14.71%
DJ / Announcer,Communication,24.59%
DJ / Announcer,Customer Service,18.46%
DJ / Announcer,Public Speaking,16.10%
DJ / Announcer,Lifting Ability,13.43%
DJ / Announcer,Valid Driver's License,10.68%
DJ / Announcer,Restaurant Operation,9.51%
DJ / Announcer,Energetic,8.41%
DJ / Announcer,Marketing,8.01%
DJ / Announcer,Detail Oriented,7.07%
DJ / Announcer,Professionalism,5.89%
Document Control / Management Specialist,Communication,41.72%
Document Control / Management Specialist,Detail Oriented,35.28%
Document Control / Management Specialist,Management,26.68%
Document Control / Management Specialist,Microsoft Excel,24.42%
Document Control / Management Specialist,Customer Service,23.61%
Document Control / Management Specialist,Microsoft Office,22.61%
Document Control / Management Specialist,Document Control,19.82%
Document Control / Management Specialist,Auditing,19.82%
Document Control / Management Specialist,Writing,18.63%
Document Control / Management Specialist,Organizational Skills,17.96%
Door-to-Door Sales Representative,Sales,58.27%
Door-to-Door Sales Representative,Communication,40.91%
Door-to-Door Sales Representative,Canvassing,33.90%
Door-to-Door Sales Representative,Customer Service,25.10%
Door-to-Door Sales Representative,Interpersonal Communications,15.55%
Door-to-Door Sales Representative,Valid Driver's License,15.01%
Door-to-Door Sales Representative,Detail Oriented,14.98%
Door-to-Door Sales Representative,Self-Motivation,14.36%
Door-to-Door Sales Representative,Management,14.28%
Door-to-Door Sales Representative,Energetic,13.64%
Drama Teacher,Teaching,65.88%
Drama Teacher,Communication,33.71%
Drama Teacher,Teaching Certificate,23.85%
Drama Teacher,Lesson Planning,23.04%
Drama Teacher,Classroom Management,15.22%
Drama Teacher,Planning,14.18%
Drama Teacher,Curriculum Development,13.72%
Drama Teacher,Interpersonal Communications,13.58%
Drama Teacher,Writing,13.40%
Drama Teacher,English Language,11.68%
Driller / Drill Operator,Valid Driver's License,45.18%
Driller / Drill Operator,Operations,32.65%
Driller / Drill Operator,Drilling,31.61%
Driller / Drill Operator,Communication,23.76%
Driller / Drill Operator,Lifting Ability,23.03%
Driller / Drill Operator,Good Driving Record,20.25%
Driller / Drill Operator,CDL Class A License,19.06%
Driller / Drill Operator,Directional Drilling,18.93%
Driller / Drill Operator,Commercial Driver's License (CDL),18.83%
Driller / Drill Operator,Construction,17.27%
Driving Instructor,Teaching,49.47%
Driving Instructor,Valid Driver's License,38.67%
Driving Instructor,Communication,33.52%
Driving Instructor,Good Driving Record,25.41%
Driving Instructor,Professionalism,12.59%
Driving Instructor,Patience,9.68%
Driving Instructor,Lifting Ability,9.63%
Driving Instructor,Operations,8.79%
Driving Instructor,Lesson Planning,7.83%
Driving Instructor,Customer Service,7.67%
Drywall Installer / Finisher,Drywall (Installation And Repair),94.74%
Drywall Installer / Finisher,Painting,25.56%
Drywall Installer / Finisher,Construction,15.62%
Drywall Installer / Finisher,Detail Oriented,15.08%
Drywall Installer / Finisher,Carpentry,13.07%
Drywall Installer / Finisher,Valid Driver's License,12.56%
Drywall Installer / Finisher,Communication,11.60%
Drywall Installer / Finisher,Customer Service,9.88%
Drywall Installer / Finisher,Renovation,8.89%
Drywall Installer / Finisher,Hand Tools,8.23%
E-Commerce Analyst,Sales,54.89%
E-Commerce Analyst,Communication,49.51%
E-Commerce Analyst,Customer Service,42.77%
E-Commerce Analyst,Marketing,40.12%
E-Commerce Analyst,Management,34.43%
E-Commerce Analyst,E-Commerce,33.86%
E-Commerce Analyst,Operations,30.83%
E-Commerce Analyst,Detail Oriented,26.37%
E-Commerce Analyst,Leadership,22.34%
E-Commerce Analyst,Problem Solving,20.94%
Economics Professor,Economics,93.02%
Economics Professor,Teaching,85.75%
Economics Professor,Microeconomics,25.70%
Economics Professor,Macroeconomics,25.28%
Economics Professor,Management,24.86%
Economics Professor,Research,21.37%
Economics Professor,Communication,20.25%
Economics Professor,Finance,17.18%
Economics Professor,Writing,15.36%
Economics Professor,Business Administration,11.87%
Economist,Economics,83.07%
Economist,Research,62.12%
Economist,Communication,39.77%
Economist,Management,37.07%
Economist,Statistics,32.19%
Economist,Presentations,29.93%
Economist,Finance,26.19%
Economist,Leadership,26.09%
Economist,Writing,25.82%
Economist,Econometrics,23.84%
Editor,Editing,51.42%
Editor,Communication,44.47%
Editor,Writing,42.50%
Editor,Journalism,27.28%
Editor,Detail Oriented,26.96%
Editor,English Language,25.38%
Editor,Research,21.41%
Editor,Grammar,18.67%
Editor,Management,17.92%
Editor,Proofreading,17.60%
Education Professor,Teaching,91.60%
Education Professor,Research,37.64%
Education Professor,Leadership,32.89%
Education Professor,Special Education,22.78%
Education Professor,Communication,19.37%
Education Professor,Educational Leadership,19.24%
Education Professor,Mentorship,18.39%
Education Professor,Innovation,16.32%
Education Professor,Advising,15.71%
Education Professor,Writing,14.01%
EKG Technician,Medical Ultrasonography,36.58%
EKG Technician,Basic Life Support (BLS) Certification,34.94%
EKG Technician,Echocardiography,21.66%
EKG Technician,American Registry For Diagnostic Medical Sonography (ARDMS) Certification,18.57%
EKG Technician,Cardiology,16.84%
EKG Technician,Electrocardiography,15.98%
EKG Technician,Registered Diagnostic Cardiac Sonographer (RDCS),15.58%
EKG Technician,Electroencephalography,12.98%
EKG Technician,Communication,12.38%
EKG Technician,Radiology,11.59%
Electrical / Electronic Designer,AutoCAD,54.63%
Electrical / Electronic Designer,Electrical Engineering,34.94%
Electrical / Electronic Designer,Communication,34.81%
Electrical / Electronic Designer,Autodesk Revit,26.62%
Electrical / Electronic Designer,Programmable Logic Controllers,23.97%
Electrical / Electronic Designer,Computer-Aided Design,23.95%
Electrical / Electronic Designer,Project Management,19.79%
Electrical / Electronic Designer,Electrical Systems,17.32%
Electrical / Electronic Designer,Problem Solving,17.22%
Electrical / Electronic Designer,Troubleshooting (Problem Solving),16.84%
Electrical and Electronics Technician,Troubleshooting (Problem Solving),60.22%
Electrical and Electronics Technician,Communication,33.32%
Electrical and Electronics Technician,Electronics,23.23%
Electrical and Electronics Technician,Operations,20.53%
Electrical and Electronics Technician,Programmable Logic Controllers,19.24%
Electrical and Electronics Technician,Valid Driver's License,19.11%
Electrical and Electronics Technician,Automation,16.95%
Electrical and Electronics Technician,Calibration,16.85%
Electrical and Electronics Technician,Electrical Wiring,16.60%
Electrical and Electronics Technician,Problem Solving,16.37%
Electrical Engineer,Electrical Engineering,73.40%
Electrical Engineer,Communication,38.16%
Electrical Engineer,Project Management,26.23%
Electrical Engineer,AutoCAD,23.18%
Electrical Engineer,Troubleshooting (Problem Solving),22.80%
Electrical Engineer,Electrical Systems,19.90%
Electrical Engineer,Operations,18.73%
Electrical Engineer,Problem Solving,18.14%
Electrical Engineer,Coordinating,18.11%
Electrical Engineer,Leadership,17.55%
Electrical Substation / Relay Repairer,Valid Driver's License,41.61%
Electrical Substation / Relay Repairer,Communication,36.27%
Electrical Substation / Relay Repairer,Troubleshooting (Problem Solving),35.12%
Electrical Substation / Relay Repairer,Transformers (Electrical),33.44%
Electrical Substation / Relay Repairer,Electrical Substation,31.13%
Electrical Substation / Relay Repairer,Relays,24.11%
Electrical Substation / Relay Repairer,Circuit Breakers,21.07%
Electrical Substation / Relay Repairer,Good Driving Record,21.07%
Electrical Substation / Relay Repairer,Test Equipment,18.97%
Electrical Substation / Relay Repairer,Electrical Wiring,18.45%
Electrician,Troubleshooting (Problem Solving),39.90%
Electrician,Electrical Wiring,33.32%
Electrician,Electrical Systems,28.61%
Electrician,Communication,24.33%
Electrician,Blueprinting,22.58%
Electrician,Valid Driver's License,20.91%
Electrician,Hand Tools,18.01%
Electrician,Electrical Equipment,17.33%
Electrician,Low Voltage,15.84%
Electrician,Power Tool Operation,13.71%
Electrician's Assistant,Electrical Wiring,27.22%
Electrician's Assistant,Electrical Systems,23.78%
Electrician's Assistant,Hand Tools,22.54%
Electrician's Assistant,Valid Driver's License,22.27%
Electrician's Assistant,Power Tool Operation,18.72%
Electrician's Assistant,Wire And Cable Pulling,14.79%
Electrician's Assistant,Communication,13.72%
Electrician's Assistant,Troubleshooting (Problem Solving),11.51%
Electrician's Assistant,Electrical Equipment,11.35%
Electrician's Assistant,Lifting Ability,10.87%
Electronic / Electrical Assembler,Soldering,42.04%
Electronic / Electrical Assembler,Electrical Wiring,34.96%
Electronic / Electrical Assembler,Hand Tools,32.65%
Electronic / Electrical Assembler,Electronic Components,23.65%
Electronic / Electrical Assembler,Detail Oriented,23.45%
Electronic / Electrical Assembler,Power Tool Operation,22.99%
Electronic / Electrical Assembler,Blueprinting,22.63%
Electronic / Electrical Assembler,Troubleshooting (Problem Solving),21.03%
Electronic / Electrical Assembler,Operations,18.74%
Electronic / Electrical Assembler,Communication,16.27%
Electronics Engineer,Troubleshooting (Problem Solving),41.78%
Electronics Engineer,Communication,39.10%
Electronics Engineer,Electrical Engineering,28.79%
Electronics Engineer,Electronics,28.02%
Electronics Engineer,Field Service Management,25.16%
Electronics Engineer,Customer Service,20.86%
Electronics Engineer,Management,17.96%
Electronics Engineer,Problem Solving,16.80%
Electronics Engineer,Leadership,16.24%
Electronics Engineer,Valid Driver's License,16.09%
Elementary and Secondary School Administrator,Communication,44.47%
Elementary and Secondary School Administrator,Leadership,41.15%
Elementary and Secondary School Administrator,Teaching,34.14%
Elementary and Secondary School Administrator,Management,29.70%
Elementary and Secondary School Administrator,Planning,24.60%
Elementary and Secondary School Administrator,Operations,24.24%
Elementary and Secondary School Administrator,Coordinating,16.51%
Elementary and Secondary School Administrator,Writing,16.45%
Elementary and Secondary School Administrator,Interpersonal Communications,15.15%
Elementary and Secondary School Administrator,Research,13.98%
Elementary School Teacher,Teaching,57.88%
Elementary School Teacher,Teaching Certificate,37.15%
Elementary School Teacher,Communication,34.97%
Elementary School Teacher,Lesson Planning,30.92%
Elementary School Teacher,Planning,17.18%
Elementary School Teacher,Classroom Management,15.40%
Elementary School Teacher,Writing,14.82%
Elementary School Teacher,Mathematics,13.54%
Elementary School Teacher,Interpersonal Communications,12.79%
Elementary School Teacher,Curriculum Development,12.42%
Emergency Management Director,Operations,47.76%
Emergency Management Director,Emergency Management,47.32%
